layer_type,layer_index,subset,probe_type,balanced_accuracy,balanced_std,control_balanced_accuracy,selectivity,raw_accuracy,majority_baseline,n_folds,n_samples,n_L,n_NL,n_L_lemmas,n_NL_lemmas
encoder,3,stemfinal_differ,mlp,0.6088760822510823,0.14740679590886085,0.490157689253668,0.11871839299741427,0.573818606490108,0.7379518072289156,5,4980,3675,1305,7,6
encoder,3,all,linear,0.6256818181818182,0.22778603089261026,0.49998789346246975,0.12569392471934848,0.7946137196137196,0.8939393939393939,5,43560,4620,38940,7,59
encoder,3,all,mlp,0.5445328282828282,0.12052821318451414,0.49916075601155707,0.04537207227127116,0.8003096903096903,0.8939393939393939,5,43560,4620,38940,7,59
decoder,0,stemfinal_same,linear,0.4293509562009695,0.06141834114179486,0.49958590523238283,-0.07023494903141331,0.8369714347946801,0.9755054432348367,5,38580,945,37635,7,59
decoder,0,stemfinal_same,mlp,0.4381794624184776,0.03763422801369462,0.5006551640367368,-0.062475701618259216,0.852295098644911,0.9755054432348367,5,38580,945,37635,7,59
decoder,0,stemfinal_differ,linear,0.4094713203463204,0.09582503348919692,0.5004938486759224,-0.091022528329602,0.42470245883333,0.7379518072289156,5,4980,3675,1305,7,6
decoder,0,stemfinal_differ,mlp,0.4314469696969697,0.13511508477962395,0.4943457898141597,-0.06289882011719,0.4629672751028596,0.7379518072289156,5,4980,3675,1305,7,6
decoder,0,all,linear,0.5496315426997245,0.1003452284238376,0.4999869842509437,0.049644558448780796,0.803949383949384,0.8939393939393939,5,43560,4620,38940,7,59
decoder,0,all,mlp,0.5526423324150597,0.06542953982703173,0.49970101191758143,0.05294132049747824,0.8103063603063603,0.8939393939393939,5,43560,4620,38940,7,59
decoder,1,stemfinal_same,linear,0.4565757649811902,0.05861089557244656,0.5000720079068605,-0.04349624292567028,0.8756373734330261,0.9755054432348367,5,38580,945,37635,7,59
decoder,1,stemfinal_same,mlp,0.4898305213766182,0.080290204468303,0.49937079159710296,-0.009540270220484759,0.8995489613414195,0.9755054432348367,5,38580,945,37635,7,59
decoder,1,stemfinal_differ,linear,0.4938847402597403,0.2228218823986944,0.4946907035226709,-0.0008059632629306424,0.4663611597070162,0.7379518072289156,5,4980,3675,1305,7,6
decoder,1,stemfinal_differ,mlp,0.5764193722943723,0.16525205421660813,0.5033055514215486,0.0731138208728237,0.5684327184598521,0.7379518072289156,5,4980,3675,1305,7,6
decoder,1,all,linear,0.4600355831037649,0.023751885673588942,0.5,-0.03996441689623509,0.7874309024309025,0.8939393939393939,5,43560,4620,38940,7,59
decoder,1,all,mlp,0.5481783746556473,0.0746207997197199,0.5000924163975535,0.04808595825809381,0.829878454878455,0.8939393939393939,5,43560,4620,38940,7,59
decoder,2,stemfinal_same,linear,0.47933770553455135,0.0626152710882338,0.4999609069585613,-0.020623201424009974,0.9062864860045341,0.9755054432348367,5,38580,945,37635,7,59
decoder,2,stemfinal_same,mlp,0.5372210914037546,0.07766504024178374,0.4989098746333491,0.0383112167704055,0.9053940168559503,0.9755054432348367,5,38580,945,37635,7,59
decoder,2,stemfinal_differ,linear,0.5440497835497835,0.11350231557719881,0.49854973144710046,0.04550005210268304,0.533542536772307,0.7379518072289156,5,4980,3675,1305,7,6
decoder,2,stemfinal_differ,mlp,0.4894188311688312,0.13899904958487586,0.5074767654046226,-0.018057934235791384,0.46468827149952413,0.7379518072289156,5,4980,3675,1305,7,6
decoder,2,all,linear,0.4731255739210284,0.04292953854837587,0.5,-0.026874426078971614,0.7996803196803197,0.8939393939393939,5,43560,4620,38940,7,59
decoder,2,all,mlp,0.5335181359044995,0.14500845313549096,0.500761075063451,0.03275706084104846,0.8235730935730935,0.8939393939393939,5,43560,4620,38940,7,59
decoder,3,stemfinal_same,linear,0.4471805634553688,0.0697095365519387,0.4994477145807781,-0.052267151125409306,0.8682128647420487,0.9755054432348367,5,38580,945,37635,7,59
decoder,3,stemfinal_same,mlp,0.4362136675157773,0.0803821514515459,0.5011942524839631,-0.06498058496818582,0.8504098389717146,0.9755054432348367,5,38580,945,37635,7,59
decoder,3,stemfinal_differ,linear,0.5408528138528139,0.03857979804348567,0.4895188508937225,0.05133396295909143,0.5442309007551445,0.7379518072289156,5,4980,3675,1305,7,6
decoder,3,stemfinal_differ,mlp,0.475853896103896,0.04114042912335432,0.5110683900763753,-0.03521449397247928,0.4341910190831868,0.7379518072289156,5,4980,3675,1305,7,6
decoder,3,all,linear,0.4991287878787879,0.12281381654701308,0.5,-0.000871212121212106,0.7557259407259408,0.8939393939393939,5,43560,4620,38940,7,59
decoder,3,all,mlp,0.43769283746556475,0.019744310322255692,0.5004249994828409,-0.06273216201727616,0.772104562104562,0.8939393939393939,5,43560,4620,38940,7,59
