layer_type,layer_index,subset,probe_type,balanced_accuracy,balanced_std,control_balanced_accuracy,selectivity,raw_accuracy,majority_baseline,n_folds,n_samples,n_L,n_NL,n_L_lemmas,n_NL_lemmas
encoder,3,stemfinal_differ,linear,0.6407543290043292,0.17802548933609852,0.4862233410047397,0.15453098799958948,0.6110504797255635,0.7379518072289156,5,4980,3675,1305,7,6
encoder,3,stemfinal_differ,mlp,0.5983809523809523,0.20630418067985534,0.5096876278483238,0.08869332453262857,0.5356372613301545,0.7379518072289156,5,4980,3675,1305,7,6
encoder,3,all,linear,0.6025126262626262,0.16193817253762005,0.4998132134209616,0.10269941284166467,0.8468847818847818,0.8939393939393939,5,43560,4620,38940,7,59
encoder,3,all,mlp,0.5586363636363636,0.17611049554804895,0.49978214540359056,0.05885421823277304,0.8344988344988344,0.8939393939393939,5,43560,4620,38940,7,59
decoder,0,stemfinal_same,linear,0.46468166962331364,0.037417072593478005,0.49971624807218185,-0.0350345784488682,0.8911073996542195,0.9755054432348367,5,38580,945,37635,7,59
decoder,0,stemfinal_same,mlp,0.5135049671134396,0.04650738356558225,0.49925583024719045,0.014249136866249179,0.9088712537787778,0.9755054432348367,5,38580,945,37635,7,59
decoder,0,stemfinal_differ,linear,0.6075892857142857,0.1401821099543275,0.49623354318751234,0.11135574252677338,0.5708017221011367,0.7379518072289156,5,4980,3675,1305,7,6
decoder,0,stemfinal_differ,mlp,0.6023392857142857,0.12085307661833813,0.48918926256731066,0.11315002314697509,0.5760390127785796,0.7379518072289156,5,4980,3675,1305,7,6
decoder,0,all,linear,0.5872474747474747,0.14445545889346662,0.5,0.08724747474747474,0.837940392940393,0.8939393939393939,5,43560,4620,38940,7,59
decoder,0,all,mlp,0.6617619375573921,0.11041482446592507,0.5009151672955919,0.16084677026180016,0.87994338994339,0.8939393939393939,5,43560,4620,38940,7,59
decoder,1,stemfinal_same,linear,0.4948722374025599,0.08861822220641857,0.499904801708104,-0.005032564305544052,0.882965023891634,0.9755054432348367,5,38580,945,37635,7,59
decoder,1,stemfinal_same,mlp,0.5718167245258621,0.08578426324759428,0.5007822267937057,0.07103449773215642,0.9120963894986236,0.9755054432348367,5,38580,945,37635,7,59
decoder,1,stemfinal_differ,linear,0.6960811688311688,0.18976720966850372,0.5002614295281467,0.1958197393030221,0.7072382388422326,0.7379518072289156,5,4980,3675,1305,7,6
decoder,1,stemfinal_differ,mlp,0.6933917748917748,0.19013856238853655,0.5032357358673564,0.19015603902441847,0.7100460013124759,0.7379518072289156,5,4980,3675,1305,7,6
decoder,1,all,linear,0.7068434343434344,0.18387078174259996,0.4997103845144501,0.20713304982898434,0.8684448884448883,0.8939393939393939,5,43560,4620,38940,7,59
decoder,1,all,mlp,0.7111512855831037,0.18190605122845654,0.5002877458240522,0.21086353975905148,0.8652713952713954,0.8939393939393939,5,43560,4620,38940,7,59
decoder,2,stemfinal_same,linear,0.492322293890734,0.04172732553367791,0.4999469355266649,-0.007624641635930907,0.92812197006207,0.9755054432348367,5,38580,945,37635,7,59
decoder,2,stemfinal_same,mlp,0.5113776330651657,0.06841983962510559,0.4995053130953423,0.011872319969823408,0.9147197092759978,0.9755054432348367,5,38580,945,37635,7,59
decoder,2,stemfinal_differ,linear,0.643556277056277,0.1441089343614772,0.499693418248164,0.14386285880811306,0.6448831189421146,0.7379518072289156,5,4980,3675,1305,7,6
decoder,2,stemfinal_differ,mlp,0.6306363636363637,0.15230840928692635,0.4905136978767778,0.14012266575958587,0.630209348207686,0.7379518072289156,5,4980,3675,1305,7,6
decoder,2,all,linear,0.5766540404040404,0.11745117807715276,0.5,0.07665404040404045,0.8287479187479188,0.8939393939393939,5,43560,4620,38940,7,59
decoder,2,all,mlp,0.546868686868687,0.10667007576288137,0.4998554510264716,0.04701323584221534,0.8119413919413919,0.8939393939393939,5,43560,4620,38940,7,59
decoder,3,stemfinal_same,linear,0.4592554397412571,0.06593344889104637,0.500513039168727,-0.041257599427469926,0.8780774433670379,0.9755054432348367,5,38580,945,37635,7,59
decoder,3,stemfinal_same,mlp,0.45091902552645086,0.08298874875878869,0.4994958412841757,-0.04857681575772482,0.86459021731611,0.9755054432348367,5,38580,945,37635,7,59
decoder,3,stemfinal_differ,linear,0.5868814935064935,0.10702151426561088,0.4803968344218704,0.10648465908462312,0.5518495074420253,0.7379518072289156,5,4980,3675,1305,7,6
decoder,3,stemfinal_differ,mlp,0.5740351731601732,0.08831018063419972,0.5008358496933402,0.073199323466833,0.5425629206286561,0.7379518072289156,5,4980,3675,1305,7,6
decoder,3,all,linear,0.524416896235078,0.1935856761923277,0.5,0.024416896235078034,0.7724525474525475,0.8939393939393939,5,43560,4620,38940,7,59
decoder,3,all,mlp,0.45211202938475664,0.08243505840919836,0.49974815140389267,-0.04763612201913603,0.7556360306360306,0.8939393939393939,5,43560,4620,38940,7,59
