layer_type,layer_index,subset,probe_type,balanced_accuracy,balanced_std,control_balanced_accuracy,control_balanced_std,selectivity,raw_accuracy,majority_baseline,n_folds,n_controls,n_samples,n_L,n_NL,n_L_lemmas,n_NL_lemmas
encoder,3,all,mlp,0.7778145087235997,0.1663193165071106,0.4795153810835629,0.026306653033229436,0.2982991276400368,0.9217116217116217,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,0,stemfinal_same,linear,0.7750531745724861,0.24341691798280535,0.4940533941672385,0.062037400808823216,0.28099978040524765,0.9655838341379562,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,0,stemfinal_same,mlp,0.778744634224869,0.2217956565253261,0.4843526897760981,0.03437002331731298,0.29439194444877087,0.9455020120603601,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,0,stemfinal_differ,linear,0.9652467532467532,0.041554025739423114,0.5945365731043151,0.1206124824006421,0.3707101801424382,0.9739708193041526,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,0,stemfinal_differ,mlp,0.9772900432900433,0.036874433463530136,0.5054435134757715,0.19114751814213504,0.4718465298142718,0.980483509559533,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,0,all,linear,0.7084274563820019,0.1819306278002653,0.47393916437098255,0.024360948302113012,0.23448829201101934,0.9143006993006992,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,0,all,mlp,0.7326044536271809,0.16586580433448073,0.5038126721763085,0.03412937454677306,0.2287917814508723,0.9102247752247752,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,1,stemfinal_same,linear,0.8069532402442986,0.22492455209484163,0.4884663518990878,0.0500386945869664,0.3184868883452108,0.979600855955745,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,1,stemfinal_same,mlp,0.829855251039836,0.20323062009545975,0.5040996283303546,0.05569528369719548,0.32575562270948144,0.9868113148226432,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,1,stemfinal_differ,linear,0.9627835497835499,0.04645191009689572,0.44640507216019143,0.13621311848777823,0.5163784776233584,0.9488765235197982,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,1,stemfinal_differ,mlp,0.9913939393939394,0.008493916878497933,0.44928627286691797,0.08189115105000201,0.5421076665270215,0.9894139838935161,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,1,all,linear,0.7873737373737374,0.1696519497836718,0.46529315886134065,0.0343567645219742,0.32208057851239674,0.9258191808191809,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,1,all,mlp,0.8117091368227733,0.1506067448936172,0.5111744719926538,0.062291343458137555,0.3005346648301196,0.9482201132201131,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,2,stemfinal_same,linear,0.8636019946542495,0.18452762247769977,0.5052586055217617,0.04691284800033632,0.35834338913248776,0.982699122057304,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,2,stemfinal_same,mlp,0.8115493409228474,0.187671546593374,0.46558122652217715,0.036335199611295305,0.3459681144006702,0.9709560136016118,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,2,stemfinal_differ,linear,0.9159913419913419,0.10632511093854619,0.44818952660242983,0.15565646276568473,0.4678018153889121,0.8854136688522652,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,2,stemfinal_differ,mlp,0.9544285714285714,0.05859651030913156,0.5591675075742397,0.20017661800426084,0.3952610638543317,0.9427340067340066,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,2,all,linear,0.8243181818181817,0.1723508038102029,0.47347842056932965,0.04776839585985994,0.3508397612488521,0.9291658341658341,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,2,all,mlp,0.8042148760330579,0.12410734589094416,0.474096189164371,0.03440904394192826,0.33011868686868684,0.9201598401598401,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,3,stemfinal_same,linear,0.7388502358227221,0.2068578969345014,0.4722689268716539,0.04923169493257992,0.26658130895106824,0.9500992670215188,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,3,stemfinal_same,mlp,0.7032929066058167,0.15585278145660536,0.4991725429868493,0.032021080837029134,0.20412036361896735,0.9518903889462853,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,3,stemfinal_differ,linear,0.8567705627705628,0.16029275890557493,0.5336763021924311,0.16953321288775794,0.32309426057813173,0.8656224624411759,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,3,stemfinal_differ,mlp,0.818865800865801,0.15637113979110637,0.4264179723502304,0.16493581068291643,0.3924478285155706,0.8277363892334652,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,3,all,linear,0.6931290174471993,0.15929690172016037,0.4755971074380166,0.026964680228134884,0.21753191000918276,0.8975641025641027,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,3,all,mlp,0.6571039944903582,0.17903906822484444,0.5459694674012855,0.08157747173948841,0.11113452708907268,0.8639826839826841,0.8939393939393939,5,5,43560,4620,38940,7,59
