arch,subset,lkey,layer,probe_type,n_runs,balanced_accuracy_mean,selectivity_mean,control_balanced_accuracy_mean,raw_accuracy_mean,majority_baseline_mean,balanced_accuracy_std,selectivity_std,control_balanced_accuracy_std,raw_accuracy_std,majority_baseline_std,layer_index
character_separated,stemfinal_same,100,dec0,linear,12,0.6178060075199728,0.10245084251143488,0.5153551650085378,0.9161790431639112,0.9664402502608033,0.15632118509354356,0.16549934036070038,0.028942385512555114,0.042989164284357305,0.006704415254260537,
character_separated,stemfinal_same,101,dec1,linear,12,0.6123665521911802,0.0981927860488292,0.514173766142351,0.906076545492787,0.9664402502608033,0.13885925234188948,0.14539924605697457,0.01666062243076676,0.04173169883479941,0.006704415254260537,
character_separated,stemfinal_same,102,dec2,linear,12,0.6088155251947407,0.1376820099144915,0.47113351528024916,0.9105824039824255,0.9664402502608033,0.15045303974750374,0.13095420230377317,0.03620302677836642,0.048089569661680896,0.006704415254260537,
character_separated,stemfinal_same,103,dec3,linear,12,0.5879696092741072,0.06734826911420999,0.5206213401598974,0.9124694621517954,0.9664402502608033,0.1428904063123537,0.15463244362691592,0.03291379399640431,0.04842256142155371,0.006704415254260537,
character_separated,stemfinal_same,0,enc0,mlp,12,0.575780742325821,0.045817297548019977,0.529963444777801,0.8936652595653004,0.9664402502608033,0.1601871541923861,0.17213410793899095,0.02489323922182235,0.03477555221444133,0.006704415254260537,
character_separated,stemfinal_same,1,enc1,mlp,12,0.5474954368953647,0.038852331689119356,0.5086431052062453,0.8931524387802257,0.9664402502608033,0.13626321439807557,0.15252076174803766,0.025578942614178684,0.031003491625351078,0.006704415254260537,
character_separated,stemfinal_same,2,enc2,mlp,12,0.5655252920756239,0.07860465742469877,0.4869206346509251,0.8872086967104814,0.9664402502608033,0.14140338598250182,0.16550015567910398,0.030074333478304578,0.030848041732829595,0.006704415254260537,
character_separated,stemfinal_same,3,enc3,mlp,12,0.5851108101809129,0.09260067463991195,0.4925101355410011,0.8997285466193002,0.9664402502608033,0.14190772061071988,0.1409720187802129,0.012288558337921378,0.017608828622103657,0.006704415254260537,
character_separated,stemfinal_same,100,dec0,mlp,12,0.5983912107204152,0.08419494603870468,0.5141962646817105,0.8983352535082497,0.9664402502608033,0.13768836849695879,0.1565755157486323,0.026119067045468958,0.029728515626939123,0.006704415254260537,
character_separated,stemfinal_same,101,dec1,mlp,12,0.5940417745874744,0.09192457588225461,0.5021171987052199,0.8963523562109056,0.9664402502608033,0.13065892305126572,0.13420635763124017,0.011005299265233238,0.03417164304180175,0.006704415254260537,
character_separated,stemfinal_same,102,dec2,mlp,12,0.5821666481007864,0.08385871218978803,0.49830793591099837,0.8938480400244372,0.9664402502608033,0.13721784843349846,0.14248233505331614,0.01404949070915179,0.04102899984053646,0.006704415254260537,
